time_key,col,auc,n
201801,te_iy_region,0.5,2629
201802,te_iy_region,0.5,2057
201803,te_iy_region,0.5,2118
201804,te_iy_region,0.5,2050
201805,te_iy_region,0.5,1979
201806,te_iy_region,0.5,1456
201807,te_iy_region,0.5,1282
201808,te_iy_region,0.5,1044
201809,te_iy_region,0.5,711
201810,te_iy_region,0.5,597
201811,te_iy_region,0.5,482
201812,te_iy_region,0.5,356
201601,te_postCode_cat,0.4997397040632575,8316
201602,te_postCode_cat,0.49938283489858176,10254
201603,te_postCode_cat,0.4977918101321268,14575
201604,te_postCode_cat,0.4979023196791662,7093
201605,te_postCode_cat,0.4979263918976743,5261
201606,te_postCode_cat,0.5088972742581734,6098
201607,te_postCode_cat,0.5063130244986631,6453
201608,te_postCode_cat,0.49807289729681686,6697
201609,te_postCode_cat,0.5048017923606329,5029
201610,te_postCode_cat,0.5008333368870747,5582
201611,te_postCode_cat,0.5025633954849428,5713
201612,te_postCode_cat,0.4998718633417649,5890
201701,te_postCode_cat,0.49642840045683645,4876
201702,te_postCode_cat,0.49286403085824493,4060
201703,te_postCode_cat,0.5034696748183589,4988
201704,te_postCode_cat,0.5020054492923235,3881
201705,te_postCode_cat,0.49862002623607066,4871
201706,te_postCode_cat,0.48999188603915117,4553
201707,te_postCode_cat,0.5165314989261344,4366
201708,te_postCode_cat,0.49757800164312005,4610
201709,te_postCode_cat,0.5023472722924436,3963
201710,te_postCode_cat,0.4958925610536586,3576
201711,te_postCode_cat,0.508607724265385,3636
201712,te_postCode_cat,0.49682960408195126,2909
201801,te_postCode_cat,0.4953382708267675,2629
201802,te_postCode_cat,0.5201170135470867,2057
201803,te_postCode_cat,0.4993733200888162,2118
201804,te_postCode_cat,0.5027656780970035,2050
201805,te_postCode_cat,0.5035629225568531,1979
201806,te_postCode_cat,0.5000350927677315,1456
201807,te_postCode_cat,0.4520004632042151,1282
201808,te_postCode_cat,0.49332052177964125,1044
201809,te_postCode_cat,0.4750388969365309,711
201810,te_postCode_cat,0.4771528998242531,597
201811,te_postCode_cat,0.44561898050270143,482
201812,te_postCode_cat,0.5509971509971511,356
201601,te_purpose_home,0.49639788045531497,8316
201602,te_purpose_home,0.49494306910123276,10254
201603,te_purpose_home,0.49476547902216167,14575
201604,te_purpose_home,0.49544937075288764,7093
201605,te_purpose_home,0.47907270683339265,5261
201606,te_purpose_home,0.47440184395056517,6098
201607,te_purpose_home,0.4755118804288797,6453
201608,te_purpose_home,0.4786700090987128,6697
201609,te_purpose_home,0.4769155317868032,5029
201610,te_purpose_home,0.48086597691947,5582
201611,te_purpose_home,0.48904639023115004,5713
201612,te_purpose_home,0.49758413868314033,5890
201701,te_purpose_home,0.48044327597475867,4876
201702,te_purpose_home,0.49976474063262877,4060
201703,te_purpose_home,0.5221647395002659,4988
201704,te_purpose_home,0.4776926452839849,3881
201705,te_purpose_home,0.5055968232672572,4871
201706,te_purpose_home,0.4904106147803051,4553
201707,te_purpose_home,0.5078005351203908,4366
201708,te_purpose_home,0.49491038890624905,4610
201709,te_purpose_home,0.5015662676871566,3963
201710,te_purpose_home,0.4821122601611621,3576
201711,te_purpose_home,0.5038163912738456,3636
201712,te_purpose_home,0.4648172986168771,2909
201801,te_purpose_home,0.5051916843005718,2629
201802,te_purpose_home,0.48553077977780906,2057
201803,te_purpose_home,0.4710960324880215,2118
201804,te_purpose_home,0.48093682421995676,2050
201805,te_purpose_home,0.47885818852321616,1979
201806,te_purpose_home,0.5024986050624827,1456
201807,te_purpose_home,0.4738236981592896,1282
201808,te_purpose_home,0.47481947356161197,1044
201809,te_purpose_home,0.4837974140243575,711
201810,te_purpose_home,0.4619947275922671,597
